"cinema_name";"city";"street"
"Cinema-City";"Bat-Yam";"Le Via"
"Cinema-City";"Beer Sheva";"Morgan Hollow"
"Cinema-City";"Eilat";"Lewis Gateway"
"Cinema-City";"Hadera";"Reilly Cove"
"Cinema-City";"Haifa";"Harper Trace"
"Cinema-City";"Jerusalem";"Johns Walk"
"Cinema-City";"Modiin";"Juan Mill"
"Cinema-City";"Natanya";"Weaver Wall"
"Cinema-City";"Ramat-Gan";"James Gateway"
"Cinema-City";"Tel Aviv";"Damon Expressway"
"Hot-Cinema";"Bat-Yam";"Kevin Landing"
"Hot-Cinema";"Beer Sheva";"Hood Terrace"
"Hot-Cinema";"Eilat";"Elizabeth Streets"
"Hot-Cinema";"Hadera";"Troy Shores"
"Hot-Cinema";"Haifa";"Danielle Harbor"
"Hot-Cinema";"Jerusalem";"Wesley Harbors"
"Hot-Cinema";"Modiin";"Carol Tunnel"
"Hot-Cinema";"Natanya";"Williams Alley"
"Hot-Cinema";"Ramat-Gan";"Megan Isle"
"Hot-Cinema";"Tel Aviv";"Jamie Throughway"
"Yes-Planet";"Bat-Yam";"Christina Parks"
"Yes-Planet";"Beer Sheva";"Michael Flats"
"Yes-Planet";"Eilat";"Randy Mall"
"Yes-Planet";"Hadera";"Jared Brook"
"Yes-Planet";"Haifa";"Kyle Dam"
"Yes-Planet";"Jerusalem";"Aaron Square"
"Yes-Planet";"Modiin";"Walker Station"
"Yes-Planet";"Natanya";"Clark Ramp"
"Yes-Planet";"Ramat-Gan";"Rodriguez Mills"
"Yes-Planet";"Tel Aviv";"Alexis Plain"
